notebook_title,count_context,context,average_context
Notizbuch A2,1,.//tei:abstract,1.0
Notizbuch E1,0,.//tei:sourceDoc//tei:note[@type='editorial'],0
Notizbuch E1,0,.//tei:sourceDoc//tei:note[@type='authorial'],0
Notizbuch E1,179,.//tei:sourceDoc//tei:surface,1.0
Notizbuch E1,15,.//tei:sourceDoc//tei:add,1.0
Notizbuch E1,200,.//tei:sourceDoc//tei:zone,1.0
Notizbuch E1,474,.//tei:sourceDoc//tei:line,1.0
Notizbuch E1,301,.//tei:sourceDoc//tei:seg,1.0
Notizbuch E1,1,.//tei:abstract,34.0
Notizbuch C4,1,.//tei:sourceDoc//tei:note[@type='editorial'],3.0
Notizbuch C4,6,.//tei:sourceDoc//tei:note[@type='authorial'],4.67
Notizbuch C4,281,.//tei:sourceDoc//tei:surface,3.0
Notizbuch C4,44,.//tei:sourceDoc//tei:add,3.0
Notizbuch C4,400,.//tei:sourceDoc//tei:zone,3.0
Notizbuch C4,1827,.//tei:sourceDoc//tei:line,3.0
Notizbuch C4,946,.//tei:sourceDoc//tei:seg,3.0
Notizbuch C4,1,.//tei:abstract,2.0
Notizbuch B4,13,.//tei:sourceDoc//tei:note[@type='editorial'],40.69
Notizbuch B4,1,.//tei:sourceDoc//tei:note[@type='authorial'],2.0
Notizbuch B4,125,.//tei:sourceDoc//tei:surface,2.0
Notizbuch B4,46,.//tei:sourceDoc//tei:add,2.0
Notizbuch B4,221,.//tei:sourceDoc//tei:zone,2.0
Notizbuch B4,813,.//tei:sourceDoc//tei:line,2.0
Notizbuch B4,418,.//tei:sourceDoc//tei:seg,2.0
Notizbuch B4,1,.//tei:abstract,49.0
Notizbuch A18,0,.//tei:sourceDoc//tei:note[@type='editorial'],0
Notizbuch A18,12,.//tei:sourceDoc//tei:note[@type='authorial'],13.25
Notizbuch A18,157,.//tei:sourceDoc//tei:surface,1.0
Notizbuch A18,54,.//tei:sourceDoc//tei:add,1.0
Notizbuch A18,377,.//tei:sourceDoc//tei:zone,1.0
Notizbuch A18,1669,.//tei:sourceDoc//tei:line,1.0
Notizbuch A18,1127,.//tei:sourceDoc//tei:seg,1.0
Notizbuch A18,1,.//tei:abstract,115.0
Notizbuch A17,0,.//tei:sourceDoc//tei:note[@type='editorial'],0
Notizbuch A17,0,.//tei:sourceDoc//tei:note[@type='authorial'],0
Notizbuch A17,167,.//tei:sourceDoc//tei:surface,115.0
Notizbuch A17,270,.//tei:sourceDoc//tei:add,115.0
Notizbuch A17,388,.//tei:sourceDoc//tei:zone,115.0
Notizbuch A17,1472,.//tei:sourceDoc//tei:line,115.0
Notizbuch A17,929,.//tei:sourceDoc//tei:seg,115.0
Notizbuch A17,1,.//tei:abstract,18.0
Notizbuch C5,12,.//tei:sourceDoc//tei:note[@type='editorial'],24.33
Notizbuch C5,5,.//tei:sourceDoc//tei:note[@type='authorial'],2.6
Notizbuch C5,140,.//tei:sourceDoc//tei:surface,3.0
Notizbuch C5,84,.//tei:sourceDoc//tei:add,3.0
Notizbuch C5,372,.//tei:sourceDoc//tei:zone,3.0
Notizbuch C5,1607,.//tei:sourceDoc//tei:line,3.0
Notizbuch C5,1566,.//tei:sourceDoc//tei:seg,3.0
Notizbuch C5,1,.//tei:abstract,2.0
Notizbuch C2,1,.//tei:sourceDoc//tei:note[@type='editorial'],94.0
Notizbuch C2,0,.//tei:sourceDoc//tei:note[@type='authorial'],0
Notizbuch C2,145,.//tei:sourceDoc//tei:surface,94.0
Notizbuch C2,38,.//tei:sourceDoc//tei:add,94.0
Notizbuch C2,280,.//tei:sourceDoc//tei:zone,94.0
Notizbuch C2,943,.//tei:sourceDoc//tei:line,94.0
Notizbuch C2,556,.//tei:sourceDoc//tei:seg,94.0
Notizbuch C2,1,.//tei:abstract,18.0
Notizbuch B14,11,.//tei:sourceDoc//tei:note[@type='editorial'],44.18
Notizbuch B14,8,.//tei:sourceDoc//tei:note[@type='authorial'],2.12
Notizbuch B14,134,.//tei:sourceDoc//tei:surface,6.0
Notizbuch B14,14,.//tei:sourceDoc//tei:add,6.0
Notizbuch B14,224,.//tei:sourceDoc//tei:zone,6.0
Notizbuch B14,987,.//tei:sourceDoc//tei:line,6.0
Notizbuch B14,488,.//tei:sourceDoc//tei:seg,6.0
Notizbuch B14,1,.//tei:abstract,2.0
Notizbuch C14,0,.//tei:sourceDoc//tei:note[@type='editorial'],0
Notizbuch C14,1,.//tei:sourceDoc//tei:note[@type='authorial'],6.0
Notizbuch C14,199,.//tei:sourceDoc//tei:surface,6.0
Notizbuch C14,92,.//tei:sourceDoc//tei:add,6.0
Notizbuch C14,493,.//tei:sourceDoc//tei:zone,6.0
Notizbuch C14,2441,.//tei:sourceDoc//tei:line,6.0
Notizbuch C14,1140,.//tei:sourceDoc//tei:seg,6.0
Notizbuch C14,1,.//tei:abstract,2.0
Notizbuch A5,2,.//tei:sourceDoc//tei:note[@type='editorial'],14.0
Notizbuch A5,2,.//tei:sourceDoc//tei:note[@type='authorial'],3.0
Notizbuch A5,250,.//tei:sourceDoc//tei:surface,3.0
Notizbuch A5,347,.//tei:sourceDoc//tei:add,3.0
Notizbuch A5,636,.//tei:sourceDoc//tei:zone,3.0
Notizbuch A5,3173,.//tei:sourceDoc//tei:line,3.0
Notizbuch A5,1739,.//tei:sourceDoc//tei:seg,3.0
Notizbuch A5,1,.//tei:abstract,77.0
Notizbuch D10,1,.//tei:sourceDoc//tei:note[@type='editorial'],12.0
Notizbuch D10,3,.//tei:sourceDoc//tei:note[@type='authorial'],12.33
Notizbuch D10,101,.//tei:sourceDoc//tei:surface,14.0
Notizbuch D10,120,.//tei:sourceDoc//tei:add,14.0
Notizbuch D10,258,.//tei:sourceDoc//tei:zone,14.0
Notizbuch D10,1232,.//tei:sourceDoc//tei:line,14.0
Notizbuch D10,842,.//tei:sourceDoc//tei:seg,14.0
Notizbuch D10,1,.//tei:abstract,2.0
Notizbuch C7,0,.//tei:sourceDoc//tei:note[@type='editorial'],0
Notizbuch C7,0,.//tei:sourceDoc//tei:note[@type='authorial'],0
Notizbuch C7,133,.//tei:sourceDoc//tei:surface,2.0
Notizbuch C7,16,.//tei:sourceDoc//tei:add,2.0
Notizbuch C7,152,.//tei:sourceDoc//tei:zone,2.0
Notizbuch C7,427,.//tei:sourceDoc//tei:line,2.0
Notizbuch C7,450,.//tei:sourceDoc//tei:seg,2.0
Notizbuch C7,1,.//tei:abstract,2.0
Notizbuch A20,0,.//tei:sourceDoc//tei:note[@type='editorial'],0
Notizbuch A20,0,.//tei:sourceDoc//tei:note[@type='authorial'],0
Notizbuch A20,135,.//tei:sourceDoc//tei:surface,2.0
Notizbuch A20,13,.//tei:sourceDoc//tei:add,2.0
Notizbuch A20,211,.//tei:sourceDoc//tei:zone,2.0
Notizbuch A20,815,.//tei:sourceDoc//tei:line,2.0
Notizbuch A20,291,.//tei:sourceDoc//tei:seg,2.0
Notizbuch A20,1,.//tei:abstract,2.0
Notizbuch C6,4,.//tei:sourceDoc//tei:note[@type='editorial'],26.5
Notizbuch C6,9,.//tei:sourceDoc//tei:note[@type='authorial'],3.0
Notizbuch C6,135,.//tei:sourceDoc//tei:surface,3.0
Notizbuch C6,61,.//tei:sourceDoc//tei:add,3.0
Notizbuch C6,305,.//tei:sourceDoc//tei:zone,3.0
Notizbuch C6,1255,.//tei:sourceDoc//tei:line,3.0
Notizbuch C6,628,.//tei:sourceDoc//tei:seg,3.0
Notizbuch C6,1,.//tei:abstract,2.0
Notizbuch D1,0,.//tei:sourceDoc//tei:note[@type='editorial'],0
