filename,notebook_title,date_e,date_a,date_f,count_context,context,average_context
1zzdm,Notizbuch A3,,,,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,17
1zzdm,Notizbuch A3,,,,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,1
1zzdm,Notizbuch A3,,,,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,16
2128d,Notizbuch A2,1873,1873,,35,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,25
2128d,Notizbuch A2,1873,1873,,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,16
2128d,Notizbuch A2,1873,1873,,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,17
2128d,Notizbuch A2,1873,1873,,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,16
1rhds,Notizbuch E1,1874 1878,1874,,10,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,11
1rhds,Notizbuch E1,1874 1878,1874,,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,1
1rhds,Notizbuch E1,1874 1878,1874,,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,23
1rhds,Notizbuch E1,1874 1878,1874,,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,6
1rhdn,Notizbuch C4,1872,1872,,10,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,16
1rhdn,Notizbuch C4,1872,1872,,2,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,6
1rhdn,Notizbuch C4,1872,1872,,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,1
1rhdn,Notizbuch C4,1872,1872,,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,12
22jts,Notizbuch B4,1877-08-07 1877-08-10 1878-12 1879-02-21 1879-03-20 1879-03-24 1879-04-17,,,14,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,15
22jts,Notizbuch B4,1877-08-07 1877-08-10 1878-12 1879-02-21 1879-03-20 1879-03-24 1879-04-17,,,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,1
22jts,Notizbuch B4,1877-08-07 1877-08-10 1878-12 1879-02-21 1879-03-20 1879-03-24 1879-04-17,,,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,13
22jts,Notizbuch B4,1877-08-07 1877-08-10 1878-12 1879-02-21 1879-03-20 1879-03-24 1879-04-17,,,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,13
1rhdk,Notizbuch A18,1867,1867,,14,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,22
1rhdk,Notizbuch A18,1867,1867,,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,8
1rhdk,Notizbuch A18,1867,1867,,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,1
1rhdk,Notizbuch A18,1867,1867,,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,8
2128n,Notizbuch A17,1869 1870,"
                     ,  
                ",,6,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,40
2128n,Notizbuch A17,1869 1870,"
                     ,  
                ",,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,12
2128n,Notizbuch A17,1869 1870,"
                     ,  
                ",,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,1
2128n,Notizbuch A17,1869 1870,"
                     ,  
                ",,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,10
1zzdp,Notizbuch C5,Während oder kurz nach der Reise nach Thüringen von Anfang Juli bis zum 25. August 1873 entstanden.,1873,,21,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,10
1zzdp,Notizbuch C5,Während oder kurz nach der Reise nach Thüringen von Anfang Juli bis zum 25. August 1873 entstanden.,1873,,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,12
1zzdp,Notizbuch C5,Während oder kurz nach der Reise nach Thüringen von Anfang Juli bis zum 25. August 1873 entstanden.,1873,,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,1
1zzdp,Notizbuch C5,Während oder kurz nach der Reise nach Thüringen von Anfang Juli bis zum 25. August 1873 entstanden.,1873,,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,11
16b9z,Notizbuch C2,1867,1867,,11,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,24
16b9z,Notizbuch C2,1867,1867,,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,6
16b9z,Notizbuch C2,1867,1867,,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,1
16b9z,Notizbuch C2,1867,1867,,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,6
22jtg,Notizbuch B14,1880-10-09 1880-10-23 1880-11-18 1880-11-27 1880-12-07 1880-12-11 1880-12-13,,,12,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,15
22jtg,Notizbuch B14,1880-10-09 1880-10-23 1880-11-18 1880-11-27 1880-12-07 1880-12-11 1880-12-13,,,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,1
22jtg,Notizbuch B14,1880-10-09 1880-10-23 1880-11-18 1880-11-27 1880-12-07 1880-12-11 1880-12-13,,,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,12
22jtg,Notizbuch B14,1880-10-09 1880-10-23 1880-11-18 1880-11-27 1880-12-07 1880-12-11 1880-12-13,,,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,13
1zzdv,Notizbuch C14,1875,1875,,7,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,31
1zzdv,Notizbuch C14,1875,1875,,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,2
1zzdv,Notizbuch C14,1875,1875,,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,1
1zzdv,Notizbuch C14,1875,1875,,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,8
22jtp,Notizbuch A5,1862,,,22,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,26
22jtp,Notizbuch A5,1862,,,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,13
22jtp,Notizbuch A5,1862,,,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,4
22jtp,Notizbuch A5,1862,,,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,13
1zzf1,Notizbuch D10, ,1871,,7,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,23
1zzf1,Notizbuch D10, ,1871,,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,2
1zzf1,Notizbuch D10, ,1871,,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,1
1zzf1,Notizbuch D10, ,1871,,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,2
16b00,Notizbuch C7,Während oder kurz nach der Reise nach Thüringen von Anfang Juli bis zum 25. August 1873 entstanden.,1873,,6,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,12
16b00,Notizbuch C7,Während oder kurz nach der Reise nach Thüringen von Anfang Juli bis zum 25. August 1873 entstanden.,1873,,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,10
16b00,Notizbuch C7,Während oder kurz nach der Reise nach Thüringen von Anfang Juli bis zum 25. August 1873 entstanden.,1873,,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,1
16b00,Notizbuch C7,Während oder kurz nach der Reise nach Thüringen von Anfang Juli bis zum 25. August 1873 entstanden.,1873,,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,9
22jth,Notizbuch A20,1881-04-19 1881-04-23 1881-05-02 1881-05-03,,1881,12,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,23
22jth,Notizbuch A20,1881-04-19 1881-04-23 1881-05-02 1881-05-03,,1881,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,1
22jth,Notizbuch A20,1881-04-19 1881-04-23 1881-05-02 1881-05-03,,1881,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,8
22jth,Notizbuch A20,1881-04-19 1881-04-23 1881-05-02 1881-05-03,,1881,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,10
1zzdq,Notizbuch C6,1873,1873,1873,11,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,12
1zzdq,Notizbuch C6,1873,1873,1873,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,8
1zzdq,Notizbuch C6,1873,1873,1873,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,1
1zzdq,Notizbuch C6,1873,1873,1873,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,6
16q91,Notizbuch D1,19.05.1864-26.05.1864,1864,,7,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,18
16q91,Notizbuch D1,19.05.1864-26.05.1864,1864,,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,12
